volumes_gm,areas_gm,volumes_wm,areas_wm,areas_exp,cor_pial,cor_exp,res
452910.36506334745,105358.0234375,230397.7118386144,91836.1484375,39466.00390625,0.0,0.0,0.06311888281741312
453252.84969554294,106463.265625,229733.48776475454,93838.84375,39484.73046875,0.0,0.0,0.07415822109269338
453520.59768338036,106053.15625,228993.70218293046,92507.4609375,39490.5703125,0.0,0.0,0.08712831264047052
453880.2075419651,105552.0546875,228138.8890653748,92369.71875,39492.94140625,0.0,0.0,0.10236684148729576
454286.98701996246,104972.2734375,227137.39850183018,92210.703125,39492.51171875,0.0,0.0,0.12027055177030621
454777.7542592591,104338.625,225966.91571712188,92066.21875,39493.81640625,0.0,0.0,0.14125
455420.3660320245,104202.6875,224583.81651243154,91884.5546875,39503.81640625,0.0,0.0,0.16596
456079.5012712935,103449.25,222975.5915982562,91678.96875,39509.7421875,0.0,0.0,0.19498
456917.1954633234,102899.3515625,221070.55428447094,91438.3984375,39520.71484375,0.0,0.0,0.22909
457837.27597496385,102034.546875,218854.2943533303,91140.8203125,39522.203125,0.0,0.0,0.26915
458885.26947978593,101059.625,216232.1438039431,90785.96875,39527.3828125,0.0,0.0,0.31623
460096.3140758276,99953.828125,213168.15468605573,90328.6484375,39528.6953125,0.0,0.0,0.37154
461505.67118753766,98665.703125,209628.24069320044,89762.375,39534.2578125,0.0,0.0,0.43652
463023.0187777748,97118.1953125,205341.3882703563,88909.5390625,39534.33203125,0.0,0.0,0.51286
464895.6678325021,95205.28125,200424.76064067357,87473.109375,39522.33984375,0.0,0.0,0.60256
467159.124947306,92899.4375,194593.01543583552,85149.7265625,39539.546875,0.0,0.0,0.70795
469700.50229987083,89775.6171875,187579.2495341918,81118.9296875,39522.76171875,0.0,0.0,0.83176
472864.1593077267,85710.1640625,179375.13194113228,75095.7734375,39519.4921875,0.0,0.0,0.97724
476974.43925549224,79730.75,170043.3734725472,67674.2734375,39482.3671875,0.0,0.0,1.1482
481536.16743172146,72707.6796875,160039.39980631947,59791.91015625,39453.6640625,0.0,0.0,1.349
485213.191363515,65388.96484375,149139.86074240995,51549.05078125,39371.8515625,0.0,0.0,1.5849
490329.0210184562,58569.359375,138749.76662143646,44698.20703125,39315.62890625,0.0,0.0,1.8621
493188.6070551186,53084.7890625,128102.57669281261,37834.55078125,39176.28125,0.0,0.0,2.1878
496137.3619728155,49079.1171875,117368.13104309935,32096.3203125,39083.609375,0.0,0.0,2.5704
497932.04683221143,45781.1875,108911.99730095147,27720.68359375,38942.890625,0.0,0.0,3.02
497712.9278884204,43667.8984375,96905.78277931885,22598.189453125,38523.6953125,0.0,0.0,3.5481
491964.2056526894,41672.1640625,86880.4648172728,19599.658203125,38043.83984375,0.0,0.0,4.1687
501971.3486705169,40426.0859375,76273.35303993842,16334.65234375,37912.9921875,0.0,0.0,4.8978
493357.95931698836,39108.4140625,68380.41660765921,14096.8974609375,37768.16796875,0.0,0.0,5.7544
470358.63937129657,36971.11328125,56720.60364832277,12434.1181640625,36257.625,0.0,0.0,6.7608
452732.02462300693,35650.12890625,45765.3882495003,10640.7978515625,35745.9921875,0.0,0.0,7.9433
456340.4799764571,34984.140625,41606.59325065822,9231.9404296875,35143.7265625,0.0,0.0,9.3325
