volumes_gm,areas_gm,volumes_wm,areas_wm,areas_exp,cor_pial,cor_exp,res
159804.22044623678,33434.87890625,66819.61747324636,26320.369140625,18921.44140625,0.0,0.0,0.06311888281741311
159900.1023826702,33355.08203125,66643.82060667289,26336.748046875,18925.962890625,0.0,0.0,0.07415822109269338
160012.0963061395,33225.42578125,66439.70620046524,26304.90234375,18928.484375,0.0,0.0,0.08712831264047052
160147.793739011,33052.76171875,66197.89147811582,26273.935546875,18932.974609375,0.0,0.0,0.10236684148729576
160293.1604880619,32835.37109375,65912.95898596627,26238.830078125,18937.1875,0.0,0.0,0.12027055177030621
160454.9240521409,32536.34375,65581.58169910601,26194.306640625,18944.060546875,0.0,0.0,0.14125
160667.34569226627,32133.630859375,65188.993599578345,26160.228515625,18973.806640625,0.0,0.0,0.16596
160973.12939562448,31552.478515625,64727.49346137433,26113.884765625,18957.181640625,0.0,0.0,0.19498
161349.778115346,30753.654296875,64188.234707033735,26063.0546875,18967.3203125,0.0,0.0,0.22909
161735.84649994064,29669.234375,63558.79500618822,25983.572265625,18974.537109375,0.0,0.0,0.26915
162155.70216115902,28425.763671875,62808.799754391715,25898.98046875,18987.013671875,0.0,0.0,0.31623
162604.59236127243,27104.060546875,61934.43787992998,25825.998046875,18996.97265625,0.0,0.0,0.37154
163023.63508691968,25883.337890625,60915.71579603073,25721.171875,19004.525390625,0.0,0.0,0.43652
163529.4255039062,24645.0703125,59692.79647242784,25582.84375,19022.26171875,0.0,0.0,0.51286
163974.46169457352,23612.642578125,58302.60926492055,25358.1015625,19032.8359375,0.0,0.0,0.60256
164502.8974530612,22847.208984375,56664.52422348477,25148.6953125,19055.345703125,0.0,0.0,0.70795
164953.1382321635,22146.8359375,54691.5213706952,24799.056640625,19065.44140625,0.0,0.0,0.83176
165454.58506916396,21591.98046875,52276.90548511971,24205.94140625,19073.20703125,0.0,0.0,0.97724
165906.1997574328,21093.4140625,49840.593832910374,23372.8828125,19075.732421875,0.0,0.0,1.1482
166330.13067552197,20703.31640625,46759.34526723017,22010.724609375,19084.25,0.0,0.0,1.349
166502.0209036048,20216.658203125,42696.755250356466,20003.30859375,19037.263671875,0.0,0.0,1.5849
166586.0228042378,19835.99609375,38521.51131506709,17590.75,19007.2421875,0.0,0.0,1.8621
166846.81699008314,19369.376953125,34058.1294100976,14946.0400390625,18873.216796875,0.0,0.0,2.1878
166555.85577959416,19074.84375,30422.21915870028,12321.0205078125,18782.62890625,0.0,0.0,2.5704
165782.8253962228,18689.234375,25264.801184813907,9482.791015625,18577.658203125,0.0,0.0,3.02
165628.87957411245,18313.998046875,21802.897302597787,7382.7119140625,18463.7578125,0.0,0.0,3.5481
160925.7660380317,17848.708984375,18643.684880519668,5752.38671875,18084.888671875,0.0,0.0,4.1687
162374.82876109087,17666.041015625,13831.62100635498,4223.10693359375,17894.986328125,0.0,0.0,4.8978
153389.24804503497,16847.529296875,11051.930303029309,3456.333984375,17244.806640625,0.0,0.0,5.7544
151901.20419428815,16463.611328125,11164.471006669857,3241.03125,16700.5625,0.0,0.0,6.7608
144615.08656318506,15640.576171875,4761.9777690220435,1990.38818359375,15819.912109375,0.0,0.0,7.9433
135112.9464539087,14840.3408203125,3940.546976364183,1585.3226318359375,15095.4482421875,0.0,0.0,9.3325
