volumes_gm,areas_gm,volumes_wm,areas_wm,areas_exp,cor_pial,cor_exp,res
35151.000511383856,12771.0458984375,12676.40182843466,10428.2412109375,7150.298828125,0.0,0.0,0.04572558847269344
35167.480811495814,12803.5712890625,12625.249488378839,10503.0693359375,7152.662109375,0.0,0.0,0.053722882094738675
35182.674529568336,12769.4033203125,12564.404541173708,10450.8984375,7153.14306640625,0.0,0.0,0.06311888281741312
35216.82605650103,12739.2529296875,12491.964763446878,10336.787109375,7157.15771484375,0.0,0.0,0.07415822109269338
35257.9835947699,12718.13671875,12410.510037605294,10317.9873046875,7160.22314453125,0.0,0.0,0.08712831264047052
35306.83272100885,12674.0048828125,12315.3239878622,10292.322265625,7162.720703125,0.0,0.0,0.10236684148729576
35347.45795195417,12589.85546875,12202.02142250088,10269.8603515625,7165.25537109375,0.0,0.0,0.12027055177030621
35421.212732068496,12484.576171875,12069.133942433233,10239.689453125,7168.76806640625,0.0,0.0,0.14125
35490.732435459395,12324.037109375,11916.924991050873,10201.1337890625,7171.66552734375,0.0,0.0,0.16596
35498.57243337551,12093.2646484375,11735.233011797802,10152.3408203125,7173.13623046875,0.0,0.0,0.19498
35650.96361601026,11809.5771484375,11511.92900786175,10078.998046875,7179.732421875,0.0,0.0,0.22909
35792.65667500046,11400.966796875,11262.145866724879,9912.6796875,7184.181640625,0.0,0.0,0.26915
35727.218514090884,10852.068359375,10942.483359099959,9516.3388671875,7177.41357421875,0.0,0.0,0.31623
36121.41386918775,10273.1982421875,10598.034375390953,8985.220703125,7197.0478515625,0.0,0.0,0.37154
36207.05523984194,9661.1669921875,10219.72438081339,8419.0810546875,7196.10546875,0.0,0.0,0.43652
36361.64364289181,9108.958984375,9775.109380007434,7819.314453125,7200.5986328125,0.0,0.0,0.51286
36249.9597772985,8627.119140625,9263.623285845364,7116.2236328125,7190.57080078125,0.0,0.0,0.60256
36484.33866709663,8325.9931640625,8648.962816050536,6342.00634765625,7197.9560546875,0.0,0.0,0.70795
36712.04006262409,8073.6552734375,8147.264811990706,5528.3095703125,7193.74951171875,0.0,0.0,0.83176
37043.3602866621,7867.86376953125,7508.268056363111,4687.0986328125,7212.9248046875,0.0,0.0,0.97724
36650.53022898349,7640.05859375,6899.073600096978,3962.46484375,7187.224609375,0.0,0.0,1.1482
36064.604328009445,7453.4189453125,6204.380550220985,3314.645751953125,7106.1513671875,0.0,0.0,1.349
36649.959185502266,7346.296875,5554.564513667461,2686.186279296875,7135.8515625,0.0,0.0,1.5849
35566.897925807774,7131.712890625,5127.970559278664,2279.232421875,6968.8154296875,0.0,0.0,1.8621
36250.10487423447,7051.77197265625,4756.308960011118,1980.001708984375,7001.69677734375,0.0,0.0,2.1878
36174.62589284281,6932.2822265625,4109.023367732207,1801.9693603515625,6942.5078125,0.0,0.0,2.5704
34504.44584202632,6605.119140625,3464.65592179904,1465.9884033203125,6732.9541015625,0.0,0.0,3.02
35509.469041688135,6664.65478515625,3016.8745038503544,1302.2451171875,6755.978515625,0.0,0.0,3.5481
34766.442503781436,6395.6591796875,2418.2745298545105,1092.2763671875,6594.82666015625,0.0,0.0,4.1687
33311.06400637865,5963.88623046875,1645.8082700753375,829.77294921875,6137.02392578125,0.0,0.0,4.8978
32177.17048353072,5829.43701171875,1247.6959141851742,809.043212890625,5972.58935546875,0.0,0.0,5.7544
25510.432203732686,5157.75146484375,608.1619689769238,409.8548278808594,5231.69970703125,0.0,0.0,6.7608
17516.368070001547,3923.73046875,144.34281679377324,157.37107849121094,4036.015869140625,0.0,0.0,7.9433
